Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Stat Type,Conference
Shyheim Carter,ALA,2,89,44.5,45t,2,27,17,44,0.0,0.0,Defense,SEC
Derrick Baity,KY,1,-3,-3.0,0,0,27,11,38,0.0,0.0,Defense,SEC
Brian Cole II,MSST,1,0,0.0,0,0,5,6,11,1.0,1.0,Defense,SEC
Trevon Diggs,ALA,1,0,0.0,0,0,18,2,20,0.0,0.0,Defense,SEC
Kristian Fulton,LSU,1,0,0.0,0,0,19,5,24,0.0,0.0,Defense,SEC
Terez Hall,MIZZ,1,0,0.0,0,0,45,25,70,5.0,34.0,Defense,SEC
Todd Harris Jr.,LSU,1,0,0.0,0,0,19,12,31,0.0,0.0,Defense,SEC
Randall Haynie,VAN,1,0,0.0,0,0,13,2,15,0.0,0.0,Defense,SEC
John Huggins,FLA,1,0,0.0,0,0,2,1,3,0.0,0.0,Defense,SEC
Noah Igbinoghene,AUB,1,0,0.0,0,0,39,11,50,0.0,0.0,Defense,SEC
Smoke Monday,AUB,1,0,0.0,0,0,7,8,15,2.0,16.0,Defense,SEC
C.J. Moore,MISS,1,0,0.0,0,0,13,4,17,0.0,0.0,Defense,SEC
Charles Oliver,TAMU,1,0,0.0,0,0,23,8,31,0.0,0.0,Defense,SEC
Ed Paris,LSU,1,0,0.0,0,0,2,2,4,0.0,0.0,Defense,SEC
Larry Pryor,TAMU,1,0,0.0,0,0,25,9,34,1.0,9.0,Defense,SEC
Jamien Sherwood,AUB,1,0,0.0,0,0,12,11,23,1.5,15.0,Defense,SEC
Keidron Smith,MISS,1,0,0.0,0,0,29,18,47,0.0,0.0,Defense,SEC
Maurice Smitherman,MSST,1,0,0.0,0,0,11,12,23,0.0,0.0,Defense,SEC
Adam Sparks,MIZZ,1,0,0.0,0,0,31,7,38,0.0,0.0,Defense,SEC
Shy Tuttle,TENN,1,0,0.0,0,0,14,19,33,1.0,3.0,Defense,SEC
Louis Vecchio,VAN,1,0,0.0,0,0,14,10,24,3.0,12.0,Defense,SEC
Kary Vincent Jr.,LSU,1,0,0.0,0,0,20,11,31,1.0,8.0,Defense,SEC
Jamyest Williams,SCAR,1,0,0.0,0,0,21,11,32,0.0,0.0,Defense,SEC
JaCoby Stevens,LSU,1,1,1.0,1,0,19,16,35,1.5,12.0,Defense,SEC
Tyrique McGhee,UGA,1,2,2.0,2,0,11,12,23,0.0,0.0,Defense,SEC
Luke Ancrum,FLA,1,5,5.0,5,0,0,8,8,0.0,0.0,Defense,SEC
Dare Odeyingbo,VAN,1,7,7.0,7,0,15,13,28,0.0,0.0,Defense,SEC
Anfernee Jennings,ALA,1,8,8.0,8,0,26,24,50,5.5,26.0,Defense,SEC
Jonathan Kongbo,TENN,1,10,10.0,10,0,5,6,11,0.0,0.0,Defense,SEC
DeShawn Capers-Smith,TAMU,1,12,12.0,12,0,31,21,52,0.0,0.0,Defense,SEC
Sherrod Greene,SCAR,1,12,12.0,12t,1,32,41,73,0.0,0.0,Defense,SEC
Jordan Griffin,VAN,1,17,17.0,17,0,62,57,119,1.0,4.0,Defense,SEC
Jamin Davis,KY,1,18,18.0,18,0,6,4,10,0.0,0.0,Defense,SEC
Allan George,VAN,1,19,19.0,19,0,25,8,33,0.0,0.0,Defense,SEC
Big Cat Bryant,AUB,1,20,20.0,20t,1,10,8,18,3.5,18.0,Defense,SEC
Patrick Surtain II,ALA,1,20,20.0,20,0,28,9,37,0.0,0.0,Defense,SEC
Ladarius Wiley,VAN,1,20,20.0,20,0,44,39,83,1.0,8.0,Defense,SEC
Christian Tutt,AUB,1,23,23.0,23,0,17,8,25,1.0,6.0,Defense,SEC
Lonnie Johnson,KY,1,24,24.0,24,0,17,6,23,0.0,0.0,Defense,SEC
Leon O'Neal Jr.,TAMU,1,25,25.0,25,0,8,6,14,0.0,0.0,Defense,SEC
