Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Stat Type,Conference
Jarrius Wallace,ARIZ,1,17,17.0,17,0,39,14,53,0.0,0.0,Defense,Pac-12
Pita Tonga,UTAH,1,21,21.0,21,0,3,9,12,2.5,12.0,Defense,Pac-12
Corrion Ballard,UTAH,1,23,23.0,23,0,48,22,70,1.0,8.0,Defense,Pac-12
Ryan Newsome,AZST,1,24,24.0,24,0,0,0,0,0.0,0.0,Defense,Pac-12
Shannon Forman,AZST,1,25,25.0,25t,1,17,9,26,0.0,0.0,Defense,Pac-12
Kedron Williams,WSU,1,25,25.0,25,0,6,1,7,0.0,0.0,Defense,Pac-12
Julian Blackmon,UTAH,1,27,27.0,27t,1,38,10,48,0.0,0.0,Defense,Pac-12
Dante Wigley,COL,1,27,27.0,27t,1,32,5,37,0.0,0.0,Defense,Pac-12
Nick Fisher,COL,1,30,30.0,30,0,32,11,43,0.0,0.0,Defense,Pac-12
John McCartan,ORST,1,30,30.0,30,0,7,4,11,0.0,0.0,Defense,Pac-12
Shawn Wilson,ORST,1,33,33.0,35,0,29,15,44,0.0,0.0,Defense,Pac-12
Elijah Hicks,CAL,1,34,34.0,34t,1,22,9,31,0.0,0.0,Defense,Pac-12
Cameron Goode,CAL,1,38,38.0,38t,1,3,0,3,0.0,0.0,Defense,Pac-12
Willie Taylor,WSU,1,40,40.0,37,0,17,13,30,4.0,40.0,Defense,Pac-12
Josh Drayden,CAL,1,54,54.0,54t,1,11,7,18,0.0,0.0,Defense,Pac-12
Delrick Abrams Jr.,COL,0,0,0.0,0,0,30,10,40,0.0,0.0,Defense,Pac-12
Terin Adams,AZST,0,0,0.0,0,0,24,6,30,0.0,0.0,Defense,Pac-12
Philip Afia,UTAH,0,0,0.0,0,0,2,1,3,0.0,0.0,Defense,Pac-12
Salvon Ahmed,WASH,0,0,0.0,0,0,0,2,2,0.0,0.0,Defense,Pac-12
Misiona Aiolupotea-Pei,WSU,0,0,0.0,0,0,6,2,8,2.5,15.0,Defense,Pac-12
Brandon Aiyuk,AZST,0,0,0.0,0,0,1,0,1,0.0,0.0,Defense,Pac-12
Joey Alfieri,STAN,0,0,0.0,0,0,21,16,37,3.5,20.0,Defense,Pac-12
Michael Alfieri,ORST,0,0,0.0,0,0,2,0,2,0.0,0.0,Defense,Pac-12
Nick Alftin,CAL,0,0,0.0,0,0,0,1,1,0.0,0.0,Defense,Pac-12
Biaggio Ali Walsh,CAL,0,0,0.0,0,0,1,0,1,0.0,0.0,Defense,Pac-12
Bradlee Anae,UTAH,0,0,0.0,0,0,27,23,50,7.5,56.0,Defense,Pac-12
Cody Anderson,ORST,0,0,0.0,0,0,1,0,1,0.0,0.0,Defense,Pac-12
Lee Anderson III,ARIZ,0,0,0.0,0,0,12,2,14,0.5,5.0,Defense,Pac-12
Martin Andrus,UCLA,0,0,0.0,0,0,7,11,18,0.0,0.0,Defense,Pac-12
Israel Antwine,COL,0,0,0.0,0,0,5,10,15,0.5,2.0,Defense,Pac-12
Kaulana Apelu,ORE,0,0,0.0,0,0,36,29,65,2.0,8.0,Defense,Pac-12
Brandon Arconado,WSU,0,0,0.0,0,0,1,0,1,0.0,0.0,Defense,Pac-12
Daniel Arias,COL,0,0,0.0,0,0,1,2,3,0.0,0.0,Defense,Pac-12
Jake Ashton,CAL,0,0,0.0,0,0,4,1,5,0.0,0.0,Defense,Pac-12
Popo Aumavae,ORE,0,0,0.0,0,0,2,3,5,0.0,0.0,Defense,Pac-12
Elu Aydon,ORST,0,0,0.0,0,0,15,21,36,0.5,3.0,Defense,Pac-12
