Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,"Stat Type"
"Brad Koenig",MIOH,3,13,4.33,7,0,62,40,102,5.0,31.0,Defense
"Lee Moses",MASS,3,13,4.33,15,0,32,22,54,0.0,0.0,Defense
"Dorian Hall",FIU,3,14,4.67,14,0,26,20,46,1.0,6.0,Defense
"Deommodore Lenoir",ORE,3,14,4.67,11,0,38,14,52,0.0,0.0,Defense
"Sheldrick Redwine",MIA,3,14,4.67,14,0,35,29,64,3.0,25.0,Defense
"Frank Coppet",VAN,3,15,5.00,13,0,24,6,30,0.0,0.0,Defense
"Kekaula Kaniho",BSU,3,15,5.00,9,0,27,13,40,1.0,9.0,Defense
"Rashad Fenton",SCAR,3,16,5.33,16,0,25,9,34,0.0,0.0,Defense
"Nick Scott",PSU,3,16,5.33,8,0,35,30,65,1.0,10.0,Defense
"Parnell Motley",OKLA,3,17,5.67,10,0,42,21,63,0.0,0.0,Defense
"Isaac Steele",LIB,3,17,5.67,20,0,44,21,65,0.0,0.0,Defense
"Brandon Williams",BUFF,3,18,6.00,18,0,49,15,64,0.0,0.0,Defense
"Marcus Milton",BGSU,3,20,6.67,15,0,34,12,46,1.0,6.0,Defense
"Chase Lucas",AZST,3,22,7.33,19,0,49,13,62,2.0,10.0,Defense
"Traveon Beck",CAL,3,23,7.67,20,0,26,6,32,0.0,0.0,Defense
"Dameon Baber",NEV,3,29,9.67,29,0,36,24,60,0.0,0.0,Defense
"John Battle",LSU,3,29,9.67,29,0,13,26,39,0.0,0.0,Defense
"Duke Shelley",KSST,3,30,10.00,30,0,32,1,33,0.0,0.0,Defense
"T.J. Edwards",WISC,3,31,10.33,28,0,73,39,112,3.0,19.0,Defense
"Darnay Holmes",UCLA,3,31,10.33,31t,1,36,12,48,0.0,0.0,Defense
"Ta'Corian Darden",WKU,3,32,10.67,38,0,42,29,71,0.0,0.0,Defense
"Kevin McGill",EMU,3,33,11.00,26,0,24,14,38,0.0,0.0,Defense
"RaVon Davis",MD,3,37,12.33,37t,1,21,10,31,0.0,0.0,Defense
"Cameron Lewis",BUFF,3,37,12.33,37,0,23,9,32,0.0,0.0,Defense
"Michael Ojemudia",IOWA,3,38,12.67,29,0,23,16,39,0.0,0.0,Defense
"L'Jarius Sneed",LT,3,43,14.33,19,1,44,15,59,1.5,6.0,Defense
"Bryce Thompson",TENN,3,45,15.00,21,0,24,10,34,1.0,6.0,Defense
"Jhavonte Dean",MIA,3,46,15.33,25,0,5,12,17,0.0,0.0,Defense
