Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,"Stat Type"
"Dante Wigley",COL,1,27,27.00,27t,1,32,5,37,0.0,0.0,Defense
"Nick Fisher",COL,1,30,30.00,30,0,32,11,43,0.0,0.0,Defense
"John McCartan",ORST,1,30,30.00,30,0,7,4,11,0.0,0.0,Defense
"Shawn Wilson",ORST,1,33,33.00,35,0,29,15,44,0.0,0.0,Defense
"Elijah Hicks",CAL,1,34,34.00,34t,1,22,9,31,0.0,0.0,Defense
"Cameron Goode",CAL,1,38,38.00,38t,1,3,0,3,0.0,0.0,Defense
"Willie Taylor",WSU,1,40,40.00,37,0,17,13,30,4.0,40.0,Defense
"Josh Drayden",CAL,1,54,54.00,54t,1,11,7,18,0.0,0.0,Defense
"Delrick Abrams Jr.",COL,0,0,0.00,0,0,30,10,40,0.0,0.0,Defense
"Terin Adams",AZST,0,0,0.00,0,0,24,6,30,0.0,0.0,Defense
"Philip Afia",UTAH,0,0,0.00,0,0,2,1,3,0.0,0.0,Defense
"Salvon Ahmed",WASH,0,0,0.00,0,0,0,2,2,0.0,0.0,Defense
"Misiona Aiolupotea-Pei",WSU,0,0,0.00,0,0,6,2,8,2.5,15.0,Defense
"Brandon Aiyuk",AZST,0,0,0.00,0,0,1,0,1,0.0,0.0,Defense
"Joey Alfieri",STAN,0,0,0.00,0,0,21,16,37,3.5,20.0,Defense
"Michael Alfieri",ORST,0,0,0.00,0,0,2,0,2,0.0,0.0,Defense
"Nick Alftin",CAL,0,0,0.00,0,0,0,1,1,0.0,0.0,Defense
"Biaggio Ali Walsh",CAL,0,0,0.00,0,0,1,0,1,0.0,0.0,Defense
"Bradlee Anae",UTAH,0,0,0.00,0,0,27,23,50,7.5,56.0,Defense
"Cody Anderson",ORST,0,0,0.00,0,0,1,0,1,0.0,0.0,Defense
"Lee Anderson III",ARIZ,0,0,0.00,0,0,12,2,14,0.5,5.0,Defense
"Martin Andrus",UCLA,0,0,0.00,0,0,7,11,18,0.0,0.0,Defense
"Israel Antwine",COL,0,0,0.00,0,0,5,10,15,0.5,2.0,Defense
"Kaulana Apelu",ORE,0,0,0.00,0,0,36,29,65,2.0,8.0,Defense
"Brandon Arconado",WSU,0,0,0.00,0,0,1,0,1,0.0,0.0,Defense
"Daniel Arias",COL,0,0,0.00,0,0,1,2,3,0.0,0.0,Defense
"Jake Ashton",CAL,0,0,0.00,0,0,4,1,5,0.0,0.0,Defense
"Popo Aumavae",ORE,0,0,0.00,0,0,2,3,5,0.0,0.0,Defense
"Elu Aydon",ORST,0,0,0.00,0,0,15,21,36,0.5,3.0,Defense
