Player,Team,Int,Yds,Avg,TD,Solo,Ast,Tot,Sack,Stat Type,Conference
Greedy Williams,LSU,2,20,10.0,0,23,10,33,0.0,Defense,SEC
Greg Gaines,WASH,1,0,0.0,0,25,30,55,3.5,Defense,Pac-12
Hauati Pututau,UTAH,1,10,10.0,0,9,10,19,1.0,Defense,Pac-12
Isaiah Langley,USC,1,0,0.0,0,36,10,46,0.0,Defense,Pac-12
Israel Antwine,COL,0,0,0.0,0,5,10,15,0.5,Defense,Pac-12
Israel Mukuamu,SCAR,1,26,26.0,0,13,4,17,0.0,Defense,SEC
J.R. Reed,UGA,2,0,0.0,0,38,28,66,1.0,Defense,SEC
JaCoby Stevens,LSU,1,1,1.0,0,19,16,35,1.5,Defense,SEC
Jacob Phillips,LSU,1,45,45.0,1,32,55,87,1.0,Defense,SEC
Jahad Woods,WSU,1,0,0.0,0,51,31,82,3.0,Defense,Pac-12
Jake Ashton,CAL,0,0,0.0,0,4,1,5,0.0,Defense,Pac-12
Jalen Thompson,WSU,2,0,0.0,0,40,26,66,0.0,Defense,Pac-12
Jamel Dean,AUB,2,0,0.0,0,21,9,30,1.0,Defense,SEC
Jamien Sherwood,AUB,1,0,0.0,0,12,11,23,1.5,Defense,SEC
Jamin Davis,KY,1,18,18.0,0,6,4,10,0.0,Defense,SEC
Jamyest Williams,SCAR,1,0,0.0,0,21,11,32,0.0,Defense,SEC
Jarrius Wallace,ARIZ,1,17,17.0,0,39,14,53,0.0,Defense,Pac-12
Javaris Davis,AUB,2,72,36.0,0,36,5,41,1.0,Defense,SEC
Javelin Guidry,UTAH,1,0,0.0,0,26,16,42,0.5,Defense,Pac-12
Jaylinn Hawkins,CAL,6,39,6.5,0,25,8,33,0.0,Defense,Pac-12
Jaylon Johnson,UTAH,3,126,42.0,1,31,10,41,1.0,Defense,Pac-12
Jeremiah Dinson,AUB,2,3,1.5,0,31,33,64,1.0,Defense,SEC
Jevon Holland,ORE,5,8,1.6,0,31,11,42,0.0,Defense,Pac-12
Joejuan Williams,VAN,4,8,2.0,0,48,13,61,0.0,Defense,SEC
Joey Alfieri,STAN,0,0,0.0,0,21,16,37,3.5,Defense,Pac-12
John Battle,LSU,3,29,9.67,0,13,26,39,0.0,Defense,SEC
John Huggins,FLA,1,0,0.0,0,2,1,3,0.0,Defense,SEC
John McCartan,ORST,1,30,30.0,0,7,4,11,0.0,Defense,Pac-12
Johnathan Abram,MSST,2,9,4.5,0,53,46,99,3.0,Defense,SEC
Jonathan Kongbo,TENN,1,10,10.0,0,5,6,11,0.0,Defense,SEC
Jordan Griffin,VAN,1,17,17.0,0,62,57,119,1.0,Defense,SEC
Jordan Kunaszyk,CAL,1,7,7.0,0,93,54,147,4.0,Defense,Pac-12
Jordan McMillan,USC,1,0,0.0,0,1,0,1,0.0,Defense,Pac-12
Jordan Miller,WASH,2,0,0.0,0,20,6,26,0.0,Defense,Pac-12
Josh Drayden,CAL,1,54,54.0,1,11,7,18,0.0,Defense,Pac-12
Julian Blackmon,UTAH,1,27,27.0,1,38,10,48,0.0,Defense,Pac-12
Justin Hollins,ORE,1,7,7.0,0,38,26,64,6.5,Defense,Pac-12
Kary Vincent Jr.,LSU,1,0,0.0,0,20,11,31,1.0,Defense,SEC
Kaulana Apelu,ORE,0,0,0.0,0,36,29,65,2.0,Defense,Pac-12
Kedron Williams,WSU,1,25,25.0,0,6,1,7,0.0,Defense,Pac-12
Keidron Smith,MISS,1,0,0.0,0,29,18,47,0.0,Defense,SEC
Keisean Lucier-South,UCLA,1,0,0.0,0,29,17,46,4.0,Defense,Pac-12
Kendarius Webster,MISS,2,30,15.0,0,26,7,33,0.0,Defense,SEC
Kobe Williams,AZST,1,0,0.0,0,44,6,50,0.0,Defense,Pac-12
Kristian Fulton,LSU,1,0,0.0,0,19,5,24,0.0,Defense,SEC
Krys Barnes,UCLA,1,0,0.0,0,53,32,85,1.0,Defense,Pac-12
Kyle Phillips,TENN,1,27,27.0,1,27,28,55,4.0,Defense,SEC
Ladarius Wiley,VAN,1,20,20.0,0,44,39,83,1.0,Defense,SEC
Larry Pryor,TAMU,1,0,0.0,0,25,9,34,1.0,Defense,SEC
Lee Anderson III,ARIZ,0,0,0.0,0,12,2,14,0.5,Defense,Pac-12
Leon O'Neal Jr.,TAMU,1,25,25.0,0,8,6,14,0.0,Defense,SEC
