Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,"Stat Type"
"Jamin Davis",KY,1,18,18.00,18,0,6,4,10,0.0,0.0,Defense
"Allan George",VAN,1,19,19.00,19,0,25,8,33,0.0,0.0,Defense
"Big Cat Bryant",AUB,1,20,20.00,20t,1,10,8,18,3.5,18.0,Defense
"Patrick Surtain II",ALA,1,20,20.00,20,0,28,9,37,0.0,0.0,Defense
"Ladarius Wiley",VAN,1,20,20.00,20,0,44,39,83,1.0,8.0,Defense
"Christian Tutt",AUB,1,23,23.00,23,0,17,8,25,1.0,6.0,Defense
"Lonnie Johnson",KY,1,24,24.00,24,0,17,6,23,0.0,0.0,Defense
"Leon O'Neal Jr.",TAMU,1,25,25.00,25,0,8,6,14,0.0,0.0,Defense
"Israel Mukuamu",SCAR,1,26,26.00,26,0,13,4,17,0.0,0.0,Defense
"Darrell Williams",AUB,1,26,26.00,26t,1,37,37,74,1.0,8.0,Defense
"Kyle Phillips",TENN,1,27,27.00,27t,1,27,28,55,4.0,37.0,Defense
"Stephen Adegoke",MSST,1,29,29.00,29,0,5,4,9,0.0,0.0,Defense
"Richard LeCounte III",UGA,1,29,29.00,29,0,45,29,74,0.0,0.0,Defense
"Michael Divinity Jr.",LSU,1,31,31.00,31,0,20,34,54,4.0,21.0,Defense
"Darrin Kirkland Jr.",TENN,1,33,33.00,33t,1,29,22,51,1.0,3.0,Defense
"Tyrell Ajian",KY,1,35,35.00,35,0,5,5,10,0.0,0.0,Defense
"Trey Dean III",FLA,1,44,44.00,44,0,16,10,26,0.0,0.0,Defense
"Jacob Phillips",LSU,1,45,45.00,45t,1,32,55,87,1.0,6.0,Defense
"Tyrel Dodson",TAMU,1,78,78.00,78t,1,42,28,70,0.5,0.0,Defense
"Ventrell Miller",FLA,1,82,82.00,82t,1,8,7,15,1.0,9.0,Defense
"Vernon Dasher",MISS,1,88,88.00,88t,1,18,18,36,0.0,0.0,Defense
"Shawn Shamburger",TENN,0,-4,0.00,0,0,6,5,11,0.0,0.0,Defense
"Micah Abernathy",TENN,0,0,0.00,0,0,22,16,38,0.0,0.0,Defense
"Fletcher Adams",MSST,0,0,0.00,0,0,7,13,20,1.0,8.0,Defense
"Feleti Afemui",VAN,0,0,0.00,0,0,2,0,2,0.0,0.0,Defense
"Franklin Agbasimere",MIZZ,0,0,0.00,0,0,1,1,2,0.0,0.0,Defense
"McTelvin Agim",ARK,0,0,0.00,0,0,19,26,45,4.5,25.0,Defense
"Otaro Alaka",TAMU,0,0,0.00,0,0,39,40,79,4.0,26.0,Defense
"Edwin Alexander",LSU,0,0,0.00,0,0,6,22,28,1.0,5.0,Defense
"Terrence Alexander",LSU,0,0,0.00,0,0,17,6,23,0.0,0.0,Defense
